input,ww_avgtime,oned_avgtime,ww_depth,oned_depth,ww_num,oned_num,ww_stdev,oned_stdev,oned_npassedarea
spc,0.961272782,0.89462136,1,1,426,431,0.486411988,0.466115536,1
a,0.87801735,0.920133278,1,1,157,194,0.380201794,0.445950747,1
b,2.781513167,2.430837357,3,3,24,28,0.615442765,0.578939276,4
c,2.835030855,2.071013431,3,3,69,65,0.925974958,1.022624481,3
cnc,2.499073762,2.277297305,1,1,160,534,1.555471043,1.226050511,1
d,2.682410288,2.095126627,2,2,73,83,1.183794416,0.777700902,3
del,1.816172714,1.252670824,2,2,112,261,1.201346861,0.591187702,2
e,0.948995327,0.965412768,1,1,294,314,0.426018936,0.49008418,1
f,2.697399833,2.571535569,3,3,48,51,0.720777954,1.875984376,3
g,3.651562712,3.095580261,3,2,59,46,1.174938183,1.011505089,4
h,2.622980645,2.726910535,2,3,107,86,1.07217516,0.872043065,3
i,1.920922119,2.098725631,2,2,151,149,0.805576473,0.853302202,2
j,5.982168,3.275237875,3,3,3,8,1.756642316,1.377862417,5
k,3.4581106,2.715359029,3,3,30,35,0.976304452,0.751943704,4
l,2.021015534,2.135361325,2,2,88,117,0.885602255,0.998797855,3
m,2.500081565,1.943411245,3,2,46,53,0.695825643,0.695009513,3
n,2.075293113,2.046899008,2,2,151,122,0.866200985,0.805901659,2
o,1.934663227,2.052633995,2,2,181,212,0.776983624,0.802765047,2
p,2.954531563,3.18554868,3,3,32,50,1.163214789,2.886892153,4
q,2.832962167,4.282715,3,3,6,3,1.138934372,0.698022998,4
r,2.24797107,1.94993591,2,2,143,156,0.945974698,0.839250812,2
s,2.392056091,2.083238024,2,2,132,164,0.880178387,0.917830732,2
t,1.279106388,1.169218572,1,1,178,215,0.7822302,0.714763482,1
u,2.468759605,2.452541542,2,3,76,83,0.739447173,0.783142781,3
v,4.271492944,2.944947636,3,3,18,22,1.508399321,1.261934767,4
w,2.86428225,2.905423,3,3,40,30,1.052426656,0.985903677,4
x,3.125636571,3.002193625,3,3,7,8,0.783567742,0.75766069,4
y,3.070148587,2.464571759,3,3,46,58,0.95403044,0.831201015,3
z,3.9013515,2.175201,3,3,2,1,0.381671492,0,5
done,2.032730456,1.824664989,2,2,90,90,0.767591477,0.717177754,3
