method,person,input,avgtime,numkeys,stdev,depth
1DInput,A,' ',1.117847823,141,0.560593441,1
1DInput,A,a,1.035119758,66,0.545648654,1
1DInput,A,b,3.0531922,5,0.620176817,3
1DInput,A,c,2.823198056,18,1.455750914,3
1DInput,A,cancel,2.46638642,207,1.144968764,1
1DInput,A,d,2.434255393,28,0.629449655,2
1DInput,A,del,1.189442479,140,0.499158563,2
1DInput,A,done,1.876314267,30,0.783265189,2
1DInput,A,e,1.106871343,108,0.464070621,1
1DInput,A,f,2.853668077,13,0.995551934,3
1DInput,A,g,3.412597565,23,1.117041616,2
1DInput,A,h,2.974514844,32,0.769248729,3
1DInput,A,i,2.526272815,54,0.868192032,2
1DInput,A,j,3.005356,2,0.927149926,3
1DInput,A,k,3.290871455,11,0.841086217,3
1DInput,A,l,2.353846364,44,1.144168105,2
1DInput,A,m,1.908312667,12,0.67460099,2
1DInput,A,n,2.318171432,37,0.706785172,2
1DInput,A,o,2.3237745,74,0.869737131,2
1DInput,A,p,4.074962368,19,4.52836212,3
1DInput,A,q,3.980362,2,0.652662387,3
1DInput,A,r,2.104841,49,0.715057516,2
1DInput,A,s,2.349515333,48,0.932781503,2
1DInput,A,t,1.201688263,76,0.621140927,1
1DInput,A,u,2.5610037,30,1.024134835,3
1DInput,A,v,4.272689667,6,1.535529821,3
1DInput,A,w,3.144282538,13,0.764649314,3
1DInput,A,x,3.191670667,3,0.993497919,3
1DInput,A,y,3.0182985,20,0.939109376,3
1DInput,B,' ',0.931410852,142,0.386628856,1
1DInput,B,a,1.068063449,69,0.302760718,1
1DInput,B,b,2.491347231,13,0.437021977,3
1DInput,B,c,2.269949,13,0.382737627,3
1DInput,B,cancel,2.280018491,234,1.421407465,1
1DInput,B,d,2.397273655,29,0.712212127,2
1DInput,B,del,1.673131622,45,0.527036879,2
1DInput,B,done,2.0932963,30,0.706598861,2
1DInput,B,e,1.145502337,101,0.530058752,1
1DInput,B,f,3.258397706,17,2.888066999,3
1DInput,B,g,2.901430583,12,0.955560585,2
1DInput,B,h,2.770831031,32,0.693545872,3
1DInput,B,i,2.116993,48,0.638159313,2
1DInput,B,j,5.682373,1,0,3
1DInput,B,k,2.626489267,15,0.502260121,3
1DInput,B,l,2.439807242,33,0.776506119,2
1DInput,B,m,2.126841286,21,0.550447268,2
1DInput,B,n,2.41067,36,0.786949089,2
1DInput,B,o,2.170281043,69,0.72460492,2
1DInput,B,p,2.844450316,19,0.73173202,3
1DInput,B,q,4.887421,1,0,3
1DInput,B,r,2.43852231,42,0.956303965,2
1DInput,B,s,2.471588115,52,0.794253586,2
1DInput,B,t,1.490148623,69,0.809990647,1
1DInput,B,u,2.570303583,24,0.572821582,3
1DInput,B,v,2.7219724,5,0.545834824,3
1DInput,B,w,3.3219795,8,1.102987528,3
1DInput,B,x,2.9793095,4,0.754330598,3
1DInput,B,y,2.369918048,21,0.481051805,3
1DInput,C,' ',0.646654878,148,0.286082878,1
1DInput,C,a,0.618501254,59,0.294958165,1
1DInput,C,b,2.0409971,10,0.436563866,3
1DInput,C,c,1.596734441,34,0.572017276,3
1DInput,C,cancel,1.849574677,93,0.62536169,1
1DInput,C,d,1.392900885,26,0.490134081,2
1DInput,C,del,1.120187039,76,0.674949452,2
1DInput,C,done,1.5043844,30,0.531215406,2
1DInput,C,e,0.646683505,105,0.276197393,1
1DInput,C,f,1.840850857,21,0.719393817,3
1DInput,C,g,2.644525545,11,0.595346318,2
1DInput,C,h,2.302874455,22,1.09988017,3
1DInput,C,i,1.58884517,47,0.759958216,2
1DInput,C,j,2.9017636,5,1.203384785,3
1DInput,C,k,2.160071222,9,0.510068055,3
1DInput,C,l,1.6438599,40,0.805626162,2
1DInput,C,m,1.77186885,20,0.818930474,2
1DInput,C,n,1.574800327,49,0.653841454,2
