key, motion, time
r, vt1, 1461
d, da1, 1533
i, vb1, 760
n, hr1, 1190
g, vb1, 1349
g, hl2, 755
w, vt1, 1112
w, vb2, 909
k, hr1, 945
k, hl2, 689
i, vb1, 993
s, hl1, 1186
j, da1, 1211
j, hr2, 1269
x, hl1, 746
x, vt2, 511
u, dd1, 1459
s, hl1, 686
b, hl1, 806
b, hr2, 667
o, vb1, 812
u, dd1, 1034
h, hl1, 1208
r, vt1, 1115
h, hl1, 1427
v, vt1, 3502
v, hl2, 1017
g, vb1, 1114
g, hl2, 776
o, vb1, 814
o, vb1, 888
d, da1, 1617
w, vt1, 1103
w, vb2, 800
k, hr1, 1030
k, hl2, 667
n, hr1, 948
d, da1, 1466
i, vb1, 810
g, vb1, 1207
g, hl2, 911
r, vt1, 801
w, vt1, 1532
w, vb2, 889
i, vb1, 941
h, hl1, 1142
y, hl1, 1089
y, hr2, 955
o, vb1, 1237
u, dd1, 1740
p, vb1, 970
p, vt2, 822
r, vt1, 681
k, hr1, 1022
k, hl2, 578
i, vb1, 732
n, hr1, 1013
g, vb1, 994
g, hl2, 822
i, vb1, 612
c, hl1, 1136
c, vb2, 1413
k, hr1, 958
k, hl2, 600
s, hl1, 661
c, hl1, 764
c, vb2, 1377
n, hr1, 939
b, hl1, 780
b, hr2, 689
c, hl1, 733
c, vb2, 1247
h, hl1, 1062
l, dc1, 1165
l, dc1, 577
n, hr1, 1149
g, vb1, 1196
g, hl2, 756
d, da1, 1243
i, vb1, 639
d, da1, 1481
o, vb1, 796
n, hr1, 759
o, vb1, 557
f, vb1, 926
f, vt2, 799
l, dc1, 601
u, dd1, 800
l, dc1, 605
l, dc1, 641
y, hl1, 939
y, hr2, 734
g, vb1, 1033
g, hl2, 644
r, vt1, 1162
w, vt1, 1016
w, vb2, 756
i, vb1, 716
h, hl1, 1407
y, hl1, 737
y, hr2, 822
o, vb1, 977
u, dd1, 839
r, vt1, 1813
v, vt1, 968
v, hl2, 2074
l, dc1, 1343
i, vb1, 1064
d, da1, 1938
h, hl1, 1320
s, hl1, 1052
b, hl1, 806
b, hr2, 778
r, vt1, 1254
r, vt1, 577
c, hl1, 828
c, vb2, 756
k, hr1, 1133
k, hl2, 667
s, hl1, 1154
r, vt1, 802
b, hl1, 1287
b, hr2, 734
i, vb1, 513
g, vb1, 1133
g, hl2, 734
n, hr1, 941
o, vb1, 898
u, dd1, 697
g, vb1, 977
g, hl2, 649
h, hl1, 1293
l, dc1, 528
l, dc1, 647
o, vb1, 803
g, vb1, 1074
g, hl2, 778
h, hl1, 1302
r, vt1, 1193
i, vb1, 826
n, hr1, 1052
o, vb1, 928
n, hr1, 947
b, hl1, 1136
b, hr2, 867
i, vb1, 765
g, vb1, 922
g, hl2, 644
p, vb1, 1062
p, vt2, 890
i, vb1, 808
l, dc1, 530
j, da1, 1045
j, hr2, 800
u, dd1, 728
s, hl1, 1065
w, vt1, 1368
w, vb2, 759
h, hl1, 2245
h, hl1, 1079
d, da1, 846
o, vb1, 841
c, hl1, 730
c, vb2, 1244
o, vb1, 662
r, vt1, 1858
o, vb1, 691
r, vt1, 1537
d, da1, 944
r, vt1, 1317
d, da1, 2908
h, hl1, 1252
i, vb1, 529
s, hl1, 1273
l, dc1, 578
h, hl1, 617
r, vt1, 472
j, da1, 1433
j, hr2, 800
c, hl1, 728
c, vb2, 934
k, hr1, 2130
k, hl2, 1093
i, vb1, 760
s, hl1, 971
o, vb1, 824
o, vb1, 515
w, vt1, 1480
w, vb2, 819
