key,motion,time
h,1a1,1048
h,1b2,711
p,1a1,948
p,2b2,1546
o,1a1,824
r,1b1,810
u,1b1,200
u,1a2,49
w,1b1,748
w,2a2,1098
r,1b1,710
o,1a1,611
p,1a1,699
p,2b2,2569
o,1a1,523
w,1b1,711
w,2a2,773
o,1a1,686
f,1b1,998
f,1a2,574
d,2a1,748
n,1b1,1110
i,1a1,1147
l,2a1,624
u,1b1,1323
u,1a2,648
s,1a1,1847
r,1b1,698
f,1b1,1759
f,1a2,773
r,1b1,611
i,1a1,598
n,1b1,1047
d,2a1,911
l,2a1,1197
w,1b1,661
y,1a1,2370
y,1b2,737
i,1a1,623
n,1b1,999
r,1b1,624
f,1b1,786
f,1a2,636
i,1a1,498
i,1a1,536
c,1a1,511
c,1b2,711
h,1a1,1672
h,1b2,1185
f,1b1,835
f,1a2,649
c,1a1,611
c,1b2,499
c,1a1,612
c,1b2,511
o,1a1,885
r,1b1,785
o,1a1,898
o,1a1,598
n,1b1,973
i,1a1,674
o,1a1,1022
n,1b1,698
w,1b1,686
w,2a2,2271
s,1a1,511
s,1a1,611
v,2b1,2033
v,1a2,736
r,1b1,687
y,1a1,1696
y,1b2,1011
m,2b1,1098
x,1a1,1248
x,2b2,823
c,1a1,611
c,1b2,674
i,1a1,461
i,1a1,462
m,2b1,961
n,1b1,773
g,3a1,986
d,2a1,811
o,1a1,1347
n,1b1,711
o,1a1,686
l,2a1,1796
w,1b1,935
w,2a2,1073
r,1b1,673
s,1a1,773
w,1b1,636
w,2a2,836
g,3a1,2071
s,1a1,985
l,2a1,1136
k,1b1,1085
k,2a2,599
l,2a1,1522
g,3a1,1722
g,3a1,1647
o,1a1,636
o,1a1,561
q,2a1,1160
u,1b1,673
u,1a2,674
i,1a1,648
c,1a1,561
c,1b2,462
k,1b1,861
k,2a2,636
l,2a1,1098
y,1a1,1435
y,1b2,574
o,1a1,985
n,1b1,1035
m,2b1,1959
d,2a1,798
h,1a1,999
h,1b2,773
o,1a1,736
u,1b1,1061
u,1a2,699
r,1b1,698
i,1a1,673
l,2a1,1821
s,1a1,898
l,2a1,1297
l,2a1,798
o,1a1,686
d,2a1,886
k,1b1,836
k,2a2,487
f,1b1,698
f,1a2,499
o,1a1,823
r,1b1,661
q,2a1,1135
q,1b2,1036
u,1b1,761
u,1a2,2284
g,3a1,1297
o,1a1,1348
