timestamp,posx,posy,action
811766,8.0,113.0,0
811778,11.0,113.0,2
811902,12.0,109.0,2
812127,8.0,110.0,2
812139,12.0,109.0,2
812201,9.0,109.0,2
812214,12.0,108.0,2
812264,11.0,102.0,2
812289,37.0,102.0,2
812314,84.0,101.0,2
812326,99.0,100.0,2
812351,113.0,101.0,2
812363,132.0,100.0,2
812389,178.0,100.0,2
812413,200.0,99.0,2
812426,213.0,99.0,2
812451,237.0,98.0,2
812463,269.0,99.0,2
812476,287.0,98.0,2
812501,310.0,99.0,2
812526,345.0,97.0,2
812538,376.0,98.0,2
812563,425.0,97.0,2
812576,450.0,97.0,2
812588,484.0,96.0,2
812613,515.0,95.0,2
812650,581.0,94.0,2
812663,593.0,93.0,2
812675,602.0,94.0,2
812700,607.0,93.0,2
812738,622.0,93.0,2
812750,626.0,94.0,2
812775,674.0,93.0,2
812800,709.0,93.0,2
812825,768.0,93.0,2
812850,801.0,92.0,2
812863,815.0,93.0,2
812887,852.0,93.0,2
812913,873.0,94.0,2
812937,864.0,95.0,2
812950,873.0,94.0,2
813000,868.0,95.0,2
813025,857.0,95.0,2
813037,867.0,95.0,2
813062,859.0,95.0,2
813074,868.0,94.0,2
813162,867.0,95.0,2
813187,857.0,95.0,2
813212,866.0,95.0,2
813261,854.0,95.0,2
813274,866.0,94.0,2
813349,854.0,95.0,2
813374,865.0,94.0,2
813411,852.0,95.0,2
813424,862.0,94.0,2
813449,859.0,94.0,2
813461,846.0,94.0,2
813486,853.0,93.0,2
813499,831.0,92.0,2
813524,728.0,90.0,2
813536,697.0,90.0,2
813561,605.0,90.0,2
813586,519.0,93.0,2
813648,413.0,95.0,2
813661,421.0,95.0,2
813748,421.0,96.0,2
813760,416.0,97.0,2
813823,412.0,96.0,2
813836,417.0,96.0,2
813910,422.0,96.0,2
813923,412.0,95.0,2
813948,413.0,89.0,2
813960,413.0,89.0,1
815135,770.0,64.0,0
815173,753.0,79.0,2
815222,752.0,82.0,2
815272,751.0,85.0,2
815322,747.0,86.0,2
815334,750.0,87.0,2
815471,754.0,87.0,2
815571,751.0,87.0,2
815646,751.0,87.0,2
815696,747.0,86.0,2
815746,744.0,83.0,2
815758,741.0,83.0,2
815783,723.0,81.0,2
815808,680.0,80.0,2
815858,593.0,83.0,2
815870,574.0,83.0,2
815883,546.0,84.0,2
815908,516.0,84.0,2
815933,497.0,82.0,2
815945,494.0,85.0,2
815970,472.0,85.0,2
815983,463.0,85.0,2
816008,460.0,86.0,2
816045,463.0,85.0,2
816182,466.0,87.0,2
816219,468.0,87.0,2
816407,470.0,84.0,2
816432,480.0,73.0,2
816444,480.0,73.0,1
818110,12.0,103.0,0
818147,12.0,102.0,2
818221,9.0,101.0,2
818246,9.0,97.0,2
818271,12.0,94.0,2
818321,9.0,97.0,2
818370,9.0,97.0,1
819169,1089.0,0.0,0
819206,1091.0,9.0,2
819231,1092.0,25.0,2
819269,1102.0,28.0,2
819281,1109.0,22.0,2
819294,1143.0,9.0,2
819305,1143.0,9.0,1
819406,1306.0,92.0,0
819418,1292.0,93.0,2
819431,1286.0,96.0,2
819456,1273.0,100.0,2
819468,1268.0,101.0,2
819493,1261.0,101.0,2
819531,1238.0,102.0,2
819543,1258.0,102.0,2
819556,1241.0,102.0,2
819581,1261.0,101.0,2
819680,1261.0,101.0,2
819730,1265.0,99.0,2
819768,1270.0,98.0,2
819806,1267.0,96.0,2
819818,1270.0,96.0,2
819905,1265.0,96.0,2
819930,1268.0,96.0,2
820004,1268.0,94.0,2
820017,1271.0,94.0,2
820059,1289.0,92.0,2
820082,1255.0,89.0,2
820104,1197.0,87.0,2
820117,1185.0,88.0,2
820142,1144.0,87.0,2
820154,1118.0,86.0,2
820179,1094.0,87.0,2
820192,1080.0,87.0,2
820229,1019.0,84.0,2
820242,1008.0,83.0,2
820279,992.0,81.0,2
820354,988.0,80.0,2
820379,991.0,79.0,2
820554,993.0,76.0,2
820579,996.0,71.0,2
820590,996.0,71.0,1
820990,1366.0,78.0,0
821052,1366.0,82.0,2
821065,1366.0,87.0,2
821127,1347.0,90.0,2
