layout,WPM,CER,NER,numC,numIF,numF,numINF,numCancel,presented_str,input_str,timed_actions
1,0.8493153051930118,0.047619047619047616,0.8571428571428571,4,1,1,36,1,burglars never leave their business card,aet gqggg,"[0.000031,a],[0.759125,e],[1.807373,t],[2.589844, ],[12.196808,g],[38.330475,q],[47.555511,g],[59.023407,g],[61.622345,g],[93.813843,cancel],[107.794922, ],[113.032227,del],[127.182373,done]"
1,2.6249931907414132,0.3333333333333333,0.0,26,4,4,0,9,find a nearby parking spot,find a nearby parking spot,"[0.000000,cancel],[2.683624,f],[7.026184,cancel],[9.509033,i],[12.770355,n],[16.057465,d],[18.194244, ],[19.567535,a],[20.790070, ],[23.396820,cancel],[25.163940,n],[27.416504,e],[28.354095,a],[30.999695,r],[33.978882,d],[37.473267,del],[40.982056,b],[43.825104, ],[44.040314,t],[46.430328,del],[47.664612,del],[50.219788,cancel],[53.382355,y],[55.205536, ],[58.277130,cancel],[60.959137,cancel],[62.560364,o],[65.161224,del],[67.843414,p],[70.126587,a],[72.491760,r],[79.417877,cancel],[83.242737,k],[86.920776,i],[89.953979,n],[93.459503,g],[95.879242, ],[100.817444,cancel],[102.953766,s],[107.536774,p],[110.908905,cancel],[112.524231,o],[114.286011,t],[119.162628,done]"
1,3.8346617418107094,0.23076923076923078,0.0,30,8,8,0,1,bring the offenders to justice,bring the offenders to justice,"[0.000031,b],[2.460144,r],[4.377747,a],[5.326569, ],[6.642548,del],[7.447662, ],[8.770081,del],[9.760132,del],[12.101410,i],[15.373688,t],[16.555817,del],[18.306793,n],[21.562439,g],[23.104523, ],[25.238983,t],[31.783813,h],[33.169830,e],[34.295837, ],[37.377991,o],[39.468658,n],[40.750122,e],[41.887451,del],[42.887146,del],[44.968292,f],[46.950226,f],[47.861511,e],[50.881531,n],[53.527283,d],[54.388824,t],[55.776123,del],[56.490875,a],[57.845673,del],[58.764404,e],[62.584045,r],[65.541748,s],[66.722473, ],[68.096893,t],[70.716949,o],[71.546967, ],[75.595825,j],[78.716217,u],[80.486389,s],[81.542938,t],[85.338745,cancel],[86.637390,i],[89.715759,c],[90.751160,e],[92.385437,done]"
1,3.419874238669031,0.32432432432432434,0.0,25,7,7,0,5,for your information only,for your information only,"[0.000031,n],[1.744690,r],[2.466919,del],[3.273407,del],[6.228912,f],[8.719055,o],[12.387146,s],[13.727905,del],[15.424744,r],[16.486084, ],[19.549988,cancel],[21.703888,o],[22.599487, ],[23.969208,del],[24.670746,del],[28.321014,y],[30.895447,cancel],[32.472961,o],[34.978973,cancel],[36.470795,r],[38.449371,r],[39.000885,del],[39.549896,del],[41.431519,cancel],[43.552521,u],[44.816956,r],[45.556000, ],[49.044281,i],[51.602722,n],[54.912323,f],[57.536438,o],[60.165802,r],[63.457092,m],[64.477875,a],[65.593048,t],[67.414856,cancel],[68.786469,i],[71.593140,o],[73.534149,n],[74.615356, ],[76.620575,o],[78.505371,n],[81.564087,l],[84.213623,y],[85.472290,done]"
1,4.329312844023835,0.35714285714285715,0.0,27,7,7,0,8,the store will close at ten,the store will close at ten,"[0.000000,t],[1.819458,cancel],[4.084167,cancel],[7.031464,h],[8.377625,e],[9.335754, ],[11.872772,s],[12.892212,t],[15.882782,cancel],[17.565277,o],[19.794342,r],[21.005249,e],[21.669739, ],[24.510223,w],[26.593689,i],[30.949188,l],[32.556915,l],[33.611389, ],[36.174103,cancel],[37.866394,c],[39.499146,l],[41.813171,o],[43.914246,s],[44.808746,a],[46.038818,s],[46.857422, ],[47.819580,del],[48.451630,del],[49.146637, ],[50.209564,del],[51.050873,del],[52.743713,cancel],[53.628204,n],[54.763458,t],[55.537018,del],[56.240997,del],[57.786926,cancel],[58.531799,e],[59.786316,t],[60.622681,del],[61.382721, ],[63.090088,a],[64.114349,t],[65.143799, ],[65.999481,t],[67.039337,e],[68.830292,cancel],[70.626007,n],[72.066864,cancel],[73.446899,done]"
1,5.945903851835451,0.03333333333333333,0.0,29,1,1,0,0,he is just like everyone else,he is just like everyone else,"[0.000031,h],[0.782501,e],[2.158508, ],[4.573608,i],[7.737732,s],[8.510437, ],[12.446136,j],[15.660034,u],[17.402679,s],[18.576843,t],[19.499451, ],[21.703918,l],[24.015778,i],[27.044891,k],[27.675934,e],[28.421875, ],[29.701111,e],[33.427094,v],[34.292603,e],[36.750793,r],[39.591766,y],[42.167053,o],[45.011139,n],[45.593170,t],[47.491272,del],[47.945526,e],[49.201874, ],[50.120178,e],[52.590759,l],[55.612640,s],[56.509491,e],[57.998749,done]"
1,4.558306645927534,0.21951219512195122,0.0,32,3,3,0,6,this phenomenon will never occur,this phenomenon will never occur,"[0.000000,cancel],[1.000275, ],[2.336029,del],[3.903503,t],[6.262268,cancel],[8.676392,h],[11.690369,i],[14.040741,s],[15.027710, ],[17.331146,o],[20.561066,cancel],[21.640869,del],[23.867340,p],[25.763763,h],[26.414062,e],[29.113586,n],[31.680664,o],[35.965271,m],[37.691895,cancel],[38.534027,e],[41.028229,n],[43.230194,o],[44.819122,n],[45.757507, ],[49.006195,w],[51.492279,i],[53.833069,l],[55.356628,l],[56.001099, ],[59.108063,n],[59.921844,e],[62.675415,v],[63.235931,a],[65.053131,cancel],[65.746887,del],[67.279419,cancel],[68.028259,e],[70.302307,r],[71.199127, ],[73.179230,o],[75.542297,c],[76.931763,c],[80.558319,u],[81.609253,r],[83.264374,done]"
1,5.92435730115525,0.15625,0.0,27,3,3,0,2,most judges are very honest,most judges are very honest,"[0.000000,m],[3.447357,o],[5.774628,s],[6.603149,t],[7.449951, ],[10.707092,j],[13.024414,u],[15.531433,d],[18.106018,g],[19.530029,e],[21.448669,s],[22.277802, ],[22.995331,a],[25.247925,r],[26.064514,e],[26.879059, ],[29.635498,v],[30.184418,e],[31.718567,r],[34.098480,y],[35.064636, ],[37.006195,cancel],[38.479156,o],[38.928741,t],[39.880920,del],[40.494202,del],[42.948792,h],[43.916595,o],[45.974213,cancel],[47.757904,n],[48.369507,e],[50.532501,s],[51.136993,e],[52.223663,del],[52.663940,t],[54.678406,done]"
1,5.882254385618976,0.1875,0.0,26,1,1,0,5,valium in the economy size,valium in the economy size,"[0.000031,v],[0.873657,a],[1.246918,a],[1.990875,del],[4.926331,l],[7.118286,i],[9.658295,u],[11.417328,m],[12.502319, ],[14.222198,i],[16.239044,cancel],[17.797882,n],[18.698120, ],[19.488373,t],[21.547485,h],[21.990356,e],[22.612732, ],[23.343933,e],[25.217072,c],[27.192932,o],[29.825226,cancel],[31.810913,n],[33.369965,o],[35.663818,m],[37.753510,y],[38.300476, ],[41.086578,cancel],[42.363556,s],[44.598511,i],[47.176117,cancel],[49.351318,z],[49.873505,e],[51.000854,cancel],[52.548523,done]"
1,5.8805284839975975,0.22448979591836735,0.0,38,5,5,0,6,insurance is important for bad drivers,insurance is important for bad drivers,"[0.000000,i],[2.158966,n],[5.183502,cancel],[6.043671,l],[7.018860,del],[8.661194,s],[10.655548,u],[13.238281,r],[14.523682,a],[16.744385,t],[17.125458,t],[17.962677,del],[18.565918,del],[19.996338,cancel],[21.333374,n],[23.723083,c],[24.349976,e],[25.106934, ],[26.486542,d],[27.422638,del],[28.577209,i],[30.427063,s],[30.924805, ],[32.301208,i],[33.909637,m],[37.345215,p],[38.421600,o],[40.561279,r],[41.248016,t],[41.970978,a],[44.377167,n],[45.196259,t],[45.875885, ],[48.588715,cancel],[50.697723,f],[51.713959,cancel],[52.884186,o],[54.776337,r],[55.372803, ],[57.677612,b],[58.337341,a],[59.488159,d],[60.020111, ],[61.112000,d],[62.880554,r],[64.391357,i],[66.798248,v],[67.461914,a],[68.426147,del],[68.998810,e],[70.495636,r],[72.620178,s],[73.685120,cancel],[75.503418,cancel],[76.474396,done]"
