Method,Person,Block,layout,WPM,CER,UER,numC,numIF,numF,numINF,numCancel,presented_str,input_str,timed_actions,layout
4KWatchWrite,1,1,3,3.274224278,0.184210526,0,31,2,2,0,5,reading week is just about here,reading week is just about here,"[0.000000,cancel],[13.144318,r],[15.571045,cancel],[16.625519,e],[18.836975,cancel],[19.494293,a],[24.571228,d],[28.499908,i],[31.795990,n],[38.318207,g],[39.745026, ],[44.055115,w],[47.689575,cancel],[48.440643,e],[49.604645,e],[53.542572,k],[54.897095, ],[58.284729,i],[63.835785,s],[65.404968, ],[71.151520,j],[74.365143,x],[77.083649,del],[80.128876,u],[82.984711,s],[86.018463,t],[87.950378, ],[89.506683,a],[93.146698,b],[97.404205,o],[100.919281,u],[103.878571,cancel],[104.732330,t],[106.909943, ],[112.515320,h],[114.506805,a],[116.257507,del],[117.842499,e],[121.332031,r],[123.094025,e],[125.216309,done]",5.528016967
4KWatchWrite,1,1,3,4.02705303,0.05,0,19,1,1,0,0,have a good weekend,have a good weekend,"[0.000000,h],[1.821625,a],[8.674408,v],[9.992401,e],[11.762543, ],[13.313904,a],[14.392517, ],[18.763245,g],[21.401855,o],[23.479095,o],[27.208160,d],[28.732788, ],[33.948944,w],[34.714630,e],[35.303284,e],[37.644653,t],[39.709229,del],[43.745911,k],[44.974854,e],[49.054138,n],[53.637238,d],[55.871063,done]",1.354575968
4KWatchWrite,1,1,3,4.638016664,0.058823529,0,16,0,0,0,1,i agree with you,i agree with you,"[0.000031,i],[1.479065, ],[2.353638,a],[7.033875,g],[9.631287,r],[10.712006,e],[11.251709,e],[13.532440, ],[17.982178,w],[20.351349,i],[23.164276,cancel],[23.849243,t],[27.124908,h],[28.251251, ],[32.069183,y],[35.244141,o],[38.809692,u],[40.654724,done]",0.908118601
4KWatchWrite,1,1,3,4.719412588,0,0,33,0,0,0,0,parking tickets can be challenged,parking tickets can be challenged,"[0.000000,p],[1.066620,a],[4.669891,r],[8.478851,k],[10.664764,i],[13.937775,n],[17.682190,g],[18.694824, ],[20.313080,t],[22.378326,i],[27.018372,c],[30.542664,k],[31.465820,e],[35.176819,t],[37.843140,s],[39.223816, ],[42.886566,c],[43.730347,a],[46.185852,n],[47.263824, ],[50.265869,b],[51.754181,e],[53.757477, ],[57.121185,c],[61.440552,h],[62.215790,a],[66.364868,l],[68.745728,l],[70.321625,e],[73.641144,n],[78.068237,g],[78.920746,e],[81.366058,d],[83.488647,done]",2.344526029
4KWatchWrite,1,1,3,4.068086389,0.147058824,0,29,3,3,0,2,i do not fully agree with you,i do not fully agree with you,"[0.000000,i],[0.819061, ],[4.561218,d],[7.540802,o],[8.474060, ],[10.555542,n],[13.000305,o],[14.917847,cancel],[16.077271,t],[16.796936, ],[20.357391,f],[23.125671,t],[25.244354,l],[27.446594,del],[29.407318,del],[32.748230,u],[34.866882,l],[36.731964,l],[41.655365,y],[42.690521, ],[44.295593,a],[47.693268,g],[51.785065,r],[53.752319,a],[55.591187,del],[56.540253,e],[57.349426,e],[58.201202, ],[61.519226,w],[63.875275,i],[66.407379,cancel],[67.042267,t],[72.112518,h],[73.320343, ],[76.192047,y],[79.748596,o],[82.594116,u],[84.279999,done]",4.287929178
4KWatchWrite,1,2,3,4.590459807,0.064516129,0,29,0,0,0,2,these barracks are big enough,these barracks are big enough,"[0.000000,t],[4.075714,cancel],[7.838013,h],[8.925049,e],[12.055969,s],[13.630707,e],[14.641296, ],[17.733643,b],[19.191650,a],[23.204651,r],[25.430481,r],[26.445374,a],[29.171417,c],[34.114929,k],[37.578125,s],[38.984039, ],[39.970551,a],[42.479370,r],[43.640472,e],[44.382965, ],[48.145355,b],[51.233307,cancel],[53.071228,i],[56.909546,g],[57.665833, ],[58.181915,e],[61.073669,n],[64.623169,o],[67.285858,u],[70.290131,g],[73.195282,h],[75.025085,done]",2.803296353
4KWatchWrite,1,2,3,5.161782659,0.066666667,0,28,1,1,0,1,all together in one big pile,all together in one big pile,"[0.000000,a],[1.822083,l],[3.281830,l],[4.888336,cancel],[5.486084,t],[7.879395,del],[8.560486, ],[9.701050,t],[12.900330,o],[15.809326,g],[16.904633,e],[20.319855,t],[24.347595,h],[26.169312,e],[29.305817,r],[30.034027, ],[32.586914,i],[35.870392,n],[36.860931, ],[39.263428,o],[42.304718,n],[43.162201,e],[44.068512, ],[47.315033,b],[49.646942,i],[52.923096,g],[53.763916, ],[56.698090,p],[59.277588,i],[61.968811,l],[62.769012,e],[64.725311,done]",2.640493149
4KWatchWrite,1,2,3,4.222017112,0.034482759,0,28,0,0,0,1,just what the doctor ordered,just what the doctor ordered,"[0.000031,j],[2.042358,u],[5.304932,s],[7.160767,t],[9.319061, ],[13.310516,w],[17.949585,h],[18.903137,a],[20.246490,cancel],[20.843262,t],[22.216156, ],[22.831451,t],[25.803070,h],[27.752045,e],[28.359009, ],[30.873932,d],[33.535309,o],[37.283020,c],[40.414368,t],[43.455933,o],[48.095825,r],[50.806274, ],[54.425690,o],[60.344330,r],[63.185059,d],[65.951538,e],[68.575378,r],[70.069214,e],[76.740570,d],[79.108429,done]",2.300581915
4KWatchWrite,1,2,3,5.675302757,0,0,31,0,0,0,0,this leather jacket is too warm,this leather jacket is too warm,"[0.000000,t],[3.815216,h],[6.227631,i],[9.602173,s],[11.015717, ],[13.013855,l],[13.852600,e],[14.417938,a],[16.375061,t],[19.343414,h],[20.602905,e],[22.313110,r],[23.456451, ],[27.811676,j],[28.549133,a],[31.418610,c],[37.472443,k],[38.312469,e],[40.218079,t],[41.182953, ],[43.063446,i],[45.613678,s],[47.002014, ],[48.784882,t],[51.266815,o],[52.765137,o],[53.505554, ],[57.266327,w],[58.056366,a],[60.217590,r],[63.432739,m],[64.921204,done]",1.989541284
4KWatchWrite,1,2,3,4.88849935,0.148148148,0,23,0,0,0,4,you must be getting old,you must be getting old,"[0.000031,y],[2.912537,o],[5.154114,u],[6.109985, ],[9.047821,m],[11.127655,u],[13.794312,s],[15.752960,cancel],[16.245575,t],[17.083527, ],[20.236603,b],[21.022705,e],[21.600281, ],[25.309601,g],[26.135620,e],[27.216278,t],[27.781189,t],[29.752441,i],[32.987518,n],[36.280212,g],[37.110352, ],[40.022491,o],[41.838440,l],[43.792633,cancel],[47.235901,cancel],[50.194000,cancel],[54.004303,d],[55.825134,done]",2.979477971
