method,block,input,avgtime,numkeys,stdev,depth
1DInput,1,' ',1.232599708,65,0.474576951,1
1DInput,1,a,1.400647111,27,0.490581619,1
1DInput,1,b,2.626597333,3,0.241613411,3
1DInput,1,c,2.738952455,11,1.255765194,3
1DInput,1,cancel,2.945461458,107,1.126749296,1
1DInput,1,d,2.858146091,11,0.867942182,2
1DInput,1,del,1.236301699,83,0.544136326,2
1DInput,1,done,1.866231267,15,0.373833219,2
1DInput,1,e,1.294470508,61,0.580510295,1
1DInput,1,f,3.078771364,11,0.870391352,3
1DInput,1,g,3.774697429,7,0.715340533,2
1DInput,1,h,3.241302385,13,1.304949322,3
1DInput,1,i,2.503368774,31,0.986012917,2
1DInput,1,j,4.555643333,3,0.977415493,3
1DInput,1,k,3.535019,6,0.783046561,3
1DInput,1,l,3.036059833,18,1.422074,2
1DInput,1,m,3.053044143,7,0.839058596,2
1DInput,1,n,2.494806281,32,0.690078102,2
1DInput,1,o,2.540099317,41,0.80069277,2
1DInput,1,p,3.493687429,7,1.358120612,3
1DInput,1,q,3.980362,2,0.652662387,3
1DInput,1,r,2.715570067,30,0.90857073,2
1DInput,1,s,2.648251107,28,0.959610514,2
1DInput,1,t,1.660452,42,0.979915809,1
1DInput,1,u,2.956016583,12,1.216128146,3
1DInput,1,v,3.54184,3,0.714228564,3
1DInput,1,w,3.353163111,9,0.758163241,3
1DInput,1,x,3.9036105,2,0.04620165,3
1DInput,1,y,3.0204863,10,0.674589504,3
1DInput,8,' ',0.692463385,78,0.283956156,1
1DInput,8,a,0.894837324,34,0.324865489,1
1DInput,8,b,1.860982,3,0.73889215,3
1DInput,8,c,1.459797364,11,0.602930169,3
1DInput,8,cancel,1.834315206,63,0.523672525,1
1DInput,8,d,1.736025071,14,0.667055537,2
1DInput,8,del,1.08517025,28,0.363175909,2
1DInput,8,done,1.669911667,15,0.572318291,2
1DInput,8,e,0.688339854,48,0.291327904,1
1DInput,8,f,1.879051,12,0.811087239,3
1DInput,8,g,2.457389625,8,0.676100856,2
1DInput,8,h,2.448831625,16,0.784222564,3
1DInput,8,i,1.724672278,18,0.663999629,2
1DInput,8,k,2.48972325,8,0.527473201,3
1DInput,8,l,1.841218381,21,0.830624692,2
1DInput,8,m,1.8315735,6,0.687438738,2
1DInput,8,n,1.891921176,17,0.808220223,2
1DInput,8,o,1.702777242,33,0.742329734,2
1DInput,8,p,2.184417833,6,0.919478678,3
1DInput,8,r,1.591711655,29,0.605584545,2
1DInput,8,s,1.93152464,25,1.002549837,2
1DInput,8,t,0.904304528,36,0.494797934,1
1DInput,8,u,2.213388438,16,0.73032261,3
1DInput,8,v,2.359812333,3,1.35825687,3
1DInput,8,w,2.15878275,4,0.722808023,3
1DInput,8,y,2.168276308,13,0.549877685,3
4KWatchWrite,1,' ',1.165470175,63,0.449779765,1
4KWatchWrite,1,a,1.17168063,27,0.532527747,1
4KWatchWrite,1,b,2.9191164,5,0.485473699,3
4KWatchWrite,1,c,3.63160725,8,1.311782007,3
4KWatchWrite,1,cancel,3.180733762,21,1.212566846,1
4KWatchWrite,1,d,3.603032333,12,0.928437498,2
4KWatchWrite,1,del,1.940862688,16,1.087654532,2
4KWatchWrite,1,done,2.0838094,15,0.297645517,2
4KWatchWrite,1,e,1.1466614,40,0.539130141,1
4KWatchWrite,1,f,3.205769833,6,0.598753141,3
4KWatchWrite,1,g,4.261782077,13,1.341802701,3
4KWatchWrite,1,h,3.207809333,18,1.056451006,2
4KWatchWrite,1,i,2.29537063,27,1.091771196,2
4KWatchWrite,1,j,6.7956395,2,1.483633771,3
4KWatchWrite,1,k,3.379740333,6,0.749278393,3
4KWatchWrite,1,l,3.2674928,10,1.492947204,2
4KWatchWrite,1,m,3.014871,10,0.874887361,3
4KWatchWrite,1,n,2.500460154,26,0.880409,2
4KWatchWrite,1,o,2.248230074,27,0.991902608,2
4KWatchWrite,1,p,3.3184996,5,1.800089071,3
