key,motion,time
b,h1,806
b,h1,780
b,h1,806
b,h1,1287
b,h1,1136
b,h1,784
b,h1,1190
b,h1,904
b,h1,715
b,h1,743
b,h1,655
b,h1,958
b,h1,1041
b,h1,973
b,h1,1311
b,h1,951
b,h1,704
b,h1,1451
b,h1,711
b,h1,781
b,h1,958
b,h1,842
b,h1,714
b,h1,873
b,h1,936
b,h1,725
b,h1,451
b,h1,801
b,h2,667
b,h2,689
b,h2,778
b,h2,734
b,h2,867
b,h2,667
b,h2,667
b,h2,712
b,h2,740
b,h2,622
b,h2,667
b,h2,712
b,h2,756
b,h2,555
b,h2,911
b,h2,755
b,h2,559
b,h2,824
b,h2,445
b,h2,335
b,h2,353
b,h2,355
b,h2,387
b,h2,467
b,h2,467
b,h2,356
b,h2,333
c,h1,1136
c,h1,764
c,h1,733
c,h1,828
c,h1,730
c,h1,728
c,h1,848
c,h1,815
c,h1,947
c,h1,1519
c,h1,1284
c,h1,1130
c,h1,926
c,h1,644
c,h1,664
c,h1,517
c,h1,1134
c,h1,675
c,h1,621
c,h1,786
c,h1,1100
c,h1,685
c,h1,776
c,h1,1156
c,h1,727
c,h1,950
c,h1,1157
c,h1,1055
c,h1,833
c,h1,864
c,h1,930
c,h1,1068
c,h1,721
c,h1,913
c,h1,941
c,h1,897
c,h1,1419
c,h1,948
c,h1,1499
c,h1,760
c,h1,1121
c,h1,1412
c,h1,1005
c,h1,872
c,h1,880
c,h1,668
c,h1,809
c,h1,755
c,h1,827
c,h1,846
c,h1,722
c,h1,744
c,h1,769
c,h1,648
c,h1,324
c,h1,565
c,h1,378
c,h1,747
c,h1,784
c,h1,693
c,h1,684
c,h1,609
c,h1,499
c,h1,706
c,h1,660
c,h1,436
c,h1,194
c,h1,714
c,h1,318
c,h1,539
c,h1,348
c,h1,454
c,v2,1413
c,v2,1377
c,v2,1247
c,v2,756
c,v2,1244
c,v2,934
c,v2,711
c,v2,1278
c,v2,690
c,v2,866
c,v2,800
c,v2,911
c,v2,829
c,v2,800
c,v2,644
c,v2,624
c,v2,822
c,v2,889
c,v2,887
c,v2,845
c,v2,1330
c,v2,733
c,v2,889
c,v2,798
c,v2,689
c,v2,979
c,v2,1090
c,v2,1044
c,v2,801
c,v2,822
c,v2,823
c,v2,912
c,v2,1200
c,v2,579
c,v2,708
c,v2,933
c,v2,789
c,v2,1262
c,v2,931
c,v2,561
c,v2,659
c,v2,627
c,v2,725
c,v2,645
c,v2,645
c,v2,446
c,v2,356
c,v2,444
c,v2,333
c,v2,578
c,v2,511
c,v2,444
c,v2,422
