timestamp,posx,posy,action
721863,111.0,85.0,0
721876,108.0,96.0,2
721901,111.0,97.0,2
721987,114.0,96.0,2
722175,111.0,97.0,2
722374,111.0,97.0,2
722886,108.0,95.0,2
722936,99.0,94.0,2
722961,11.0,91.0,2
722973,10.0,87.0,2
722984,10.0,87.0,1
723235,27.0,91.0,0
723248,91.0,94.0,2
723285,138.0,94.0,2
723298,150.0,95.0,2
723322,178.0,97.0,2
723334,191.0,98.0,2
723359,210.0,98.0,2
723372,207.0,99.0,2
723472,203.0,97.0,2
723522,196.0,96.0,2
723547,205.0,90.0,2
723559,200.0,79.0,2
723571,210.0,74.0,2
723583,210.0,74.0,1
724176,919.0,114.0,0
724200,915.0,115.0,2
724238,918.0,113.0,2
724263,921.0,112.0,2
724288,924.0,110.0,2
724300,932.0,109.0,2
724325,948.0,106.0,2
724338,959.0,105.0,2
724362,966.0,104.0,2
724412,958.0,103.0,2
724450,947.0,103.0,2
724475,958.0,102.0,2
724512,955.0,101.0,2
724525,952.0,101.0,2
724550,930.0,99.0,2
724562,924.0,99.0,2
724587,898.0,93.0,2
724599,889.0,91.0,2
724624,873.0,91.0,2
724637,863.0,90.0,2
724674,859.0,88.0,2
724699,849.0,88.0,2
724737,850.0,88.0,2
724749,864.0,87.0,2
724787,856.0,88.0,2
724824,873.0,86.0,2
724837,868.0,86.0,2
724849,881.0,84.0,2
724874,903.0,82.0,2
724887,914.0,80.0,2
724911,937.0,78.0,2
724961,932.0,76.0,2
724986,923.0,79.0,2
724999,917.0,79.0,2
725011,914.0,79.0,2
725036,918.0,74.0,2
725049,896.0,69.0,2
725060,896.0,69.0,1
725261,1284.0,99.0,0
725286,1269.0,99.0,2
725336,1273.0,98.0,2
725361,1277.0,96.0,2
725398,1281.0,96.0,2
725510,1280.0,95.0,2
725548,1273.0,95.0,2
725573,1269.0,95.0,2
725635,1264.0,95.0,2
725648,1259.0,94.0,2
725673,1205.0,94.0,2
725685,1192.0,94.0,2
725710,1142.0,94.0,2
