timestamp,posx,posy,action
13004198,684.0,104.0,0
13004222,674.0,104.0,2
13004248,681.0,104.0,2
13004272,675.0,103.0,2
13004322,659.0,103.0,2
13004347,654.0,102.0,2
13004372,646.0,101.0,2
13004384,642.0,102.0,2
13004409,625.0,102.0,2
13004422,619.0,101.0,2
13004447,610.0,98.0,2
13004459,605.0,97.0,2
13004484,575.0,98.0,2
13004509,483.0,99.0,2
13004521,416.0,99.0,2
13004546,378.0,95.0,2
13004559,323.0,93.0,2
13004584,269.0,91.0,2
13004596,216.0,93.0,2
13004621,181.0,90.0,2
13004634,168.0,89.0,2
13004646,162.0,86.0,2
13004671,169.0,86.0,2
13004708,194.0,90.0,2
13004721,189.0,89.0,2
13004733,194.0,91.0,2
13004758,220.0,89.0,2
13004796,401.0,87.0,2
13004808,465.0,88.0,2
13004821,510.0,85.0,2
13004858,703.0,80.0,2
13004883,880.0,79.0,2
13004920,1007.0,73.0,2
13004933,1040.0,75.0,2
13004951,1056.0,75.0,2
13004960,1060.0,75.0,2
13005008,1059.0,78.0,2
13005045,1056.0,80.0,2
13005083,1051.0,81.0,2
13005120,1033.0,81.0,2
13005157,1022.0,80.0,2
13005170,1019.0,80.0,2
13005182,1016.0,80.0,2
13005207,1013.0,80.0,2
13005257,1020.0,81.0,2
13005282,1020.0,80.0,2
13005357,1008.0,75.0,2
13005382,996.0,74.0,2
13005393,996.0,74.0,1
13030196,47.0,90.0,0
13030233,62.0,92.0,2
13030244,59.0,94.0,2
13030257,78.0,96.0,2
13030344,78.0,97.0,2
13030357,75.0,96.0,2
13030369,79.0,97.0,2
13030394,76.0,97.0,2
13030407,81.0,96.0,2
13030469,81.0,99.0,2
13030519,78.0,98.0,2
13030556,81.0,98.0,2
13030707,81.0,98.0,2
13030719,84.0,98.0,2
13030844,89.0,97.0,2
13030856,86.0,96.0,2
13030919,86.0,97.0,2
13030943,89.0,97.0,2
13031018,78.0,96.0,2
13031030,90.0,96.0,2
13031068,78.0,96.0,2
13031093,80.0,96.0,2
13031105,91.0,97.0,2
13031168,92.0,97.0,2
13031543,93.0,98.0,2
13031680,96.0,98.0,2
13031854,93.0,98.0,2
13031917,93.0,99.0,2
13032017,89.0,100.0,2
13032041,84.0,102.0,2
13032066,61.0,106.0,2
13032079,49.0,110.0,2
13032091,49.0,110.0,1
13035219,1366.0,97.0,0
13035480,1366.0,100.0,2
13035580,1366.0,97.0,2
13035630,1366.0,94.0,2
13035718,1360.0,93.0,2
13035743,1336.0,92.0,2
13035767,1330.0,91.0,2
13035780,1323.0,90.0,2
13035805,1300.0,88.0,2
13035817,1288.0,88.0,2
13035842,1257.0,89.0,2
13035855,1262.0,89.0,2
13035879,1279.0,89.0,2
13035892,1259.0,90.0,2
13035905,1262.0,89.0,2
13035954,1254.0,89.0,2
13036104,1249.0,89.0,2
13036154,1245.0,89.0,2
13036166,1241.0,89.0,2
13036191,1218.0,91.0,2
13036204,1205.0,91.0,2
13036216,1200.0,91.0,2
13036229,1196.0,92.0,2
13036266,1193.0,93.0,2
13036328,1196.0,90.0,2
13036341,1196.0,90.0,1
13054769,530.0,93.0,0
13054818,534.0,91.0,2
13054843,545.0,91.0,2
13054868,547.0,92.0,2
13054880,533.0,92.0,2
13054930,547.0,91.0,2
13054943,532.0,92.0,2
13055030,529.0,93.0,2
13055255,540.0,91.0,2
13055280,541.0,91.0,2
13055292,529.0,91.0,2
13055467,526.0,92.0,2
13055504,537.0,92.0,2
13055517,526.0,92.0,2
13055642,536.0,91.0,2
13055654,540.0,91.0,2
13055666,537.0,91.0,2
13055691,525.0,92.0,2
13055766,536.0,92.0,2
13055829,524.0,91.0,2
13055841,537.0,91.0,2
13055866,534.0,91.0,2
13055904,537.0,91.0,2
13055940,534.0,90.0,2
13056128,552.0,87.0,2
13056153,534.0,87.0,2
13056215,549.0,87.0,2
13056228,536.0,87.0,2
13056253,533.0,88.0,2
13056290,547.0,87.0,2
13056302,535.0,88.0,2
13056414,532.0,86.0,2
13056465,547.0,87.0,2
13056489,535.0,88.0,2
13056502,550.0,87.0,2
13056514,533.0,88.0,2
13056576,547.0,87.0,2
13056589,534.0,88.0,2
13056639,530.0,86.0,2
13056789,527.0,87.0,2
13056826,530.0,87.0,2
13056864,527.0,87.0,2
13056876,531.0,87.0,2
13057000,528.0,88.0,2
13057313,531.0,89.0,2
13057388,521.0,90.0,2
13057412,530.0,91.0,2
13057450,521.0,91.0,2
13057512,521.0,91.0,2
13057524,529.0,91.0,2
13057537,522.0,91.0,2
13057836,519.0,93.0,2
13058510,518.0,90.0,2
13058523,524.0,91.0,2
13058535,518.0,91.0,2
13058697,524.0,92.0,2
13058709,518.0,91.0,2
13059121,525.0,91.0,2
13059133,518.0,92.0,2
13059296,515.0,90.0,2
13059408,519.0,92.0,2
13059433,518.0,91.0,2
13059445,514.0,89.0,2
13059533,517.0,90.0,2
13059545,512.0,89.0,2
13059557,515.0,89.0,2
13059595,516.0,90.0,2
13059607,512.0,89.0,2
13059694,515.0,89.0,2
13059707,512.0,89.0,2
13060143,508.0,89.0,2
13060194,505.0,88.0,2
13060256,485.0,88.0,2
13060268,456.0,90.0,2
13060293,420.0,90.0,2
13060306,415.0,90.0,2
13060331,401.0,91.0,2
13060343,393.0,92.0,2
13060368,377.0,95.0,2
13060380,365.0,95.0,2
13060405,323.0,97.0,2
13060417,302.0,98.0,2
13060442,235.0,101.0,2
13060480,194.0,102.0,2
13060517,195.0,103.0,2
13060530,191.0,103.0,2
13060542,195.0,103.0,2
13060567,197.0,103.0,2
13060580,189.0,102.0,2
13060605,196.0,102.0,2
13060617,191.0,102.0,2
13060742,196.0,102.0,2
13060767,192.0,102.0,2
13060830,197.0,102.0,2
13060904,200.0,102.0,2
13060979,199.0,102.0,2
13061004,195.0,102.0,2
13061016,200.0,102.0,2
13061104,200.0,102.0,2
13061116,204.0,102.0,2
13061129,201.0,102.0,2
13061453,203.0,101.0,2
13061491,204.0,100.0,2
13061503,201.0,101.0,2
13061528,205.0,101.0,2
13061566,199.0,100.0,2
13061615,205.0,97.0,2
13061628,199.0,97.0,2
13061665,202.0,99.0,2
13061703,206.0,100.0,2
13061740,214.0,96.0,2
13061752,241.0,93.0,2
13061777,275.0,92.0,2
13061802,298.0,91.0,2
13061815,309.0,91.0,2
13061840,359.0,88.0,2
13061852,380.0,87.0,2
13061877,420.0,83.0,2
13061890,442.0,81.0,2
13061914,506.0,77.0,2
13061939,593.0,76.0,2
13061964,676.0,73.0,2
13061977,702.0,74.0,2
13062014,798.0,76.0,2
13062039,849.0,75.0,2
13062052,887.0,72.0,2
13062077,913.0,71.0,2
13062089,918.0,71.0,2
13062101,921.0,71.0,2
13062151,918.0,70.0,2
13062263,915.0,70.0,2
13062339,911.0,69.0,2
13062414,908.0,69.0,2
13062451,906.0,72.0,2
13062489,903.0,72.0,2
13062538,900.0,73.0,2
13062600,895.0,72.0,2
13062638,892.0,72.0,2
13062688,889.0,72.0,2
13062788,889.0,75.0,2
13062875,890.0,79.0,2
13062975,890.0,82.0,2
13063015,887.0,82.0,2
13063025,890.0,84.0,2
13063087,889.0,81.0,2
13063150,889.0,84.0,2
13063312,893.0,93.0,2
13063323,893.0,93.0,1
13070561,906.0,79.0,0
13070697,907.0,82.0,2
13071071,907.0,82.0,2
13071184,904.0,84.0,2
13071321,905.0,81.0,2
13071433,904.0,84.0,2
13071483,903.0,85.0,2
13071496,898.0,88.0,2
13071520,898.0,87.0,2
13071595,898.0,90.0,2
13071632,895.0,93.0,2
13071657,894.0,96.0,2
13071682,893.0,99.0,2
13071695,897.0,100.0,2
13071732,894.0,103.0,2
13071794,892.0,106.0,2
13071894,892.0,109.0,2
