timestamp,posx,posy,action
3974303,175.0,45.0,0
3975395,175.0,62.0,2
3975436,175.0,63.713478,2
3975449,175.0,64.5,2
3975825,164.0,64.0,2
3975955,163.0,64.0,2
3976053,162.0,64.0,2
3976148,160.23608,53.0,2
3976160,159.51723,53.0,2
3976185,160.0,52.0,2
3976334,160.0,51.0,2
3976367,160.0,50.0,2
3976518,160.0,49.0,2
3976769,159.0,47.5,2
3977755,159.0,47.0,2
3978038,159.0,46.0,2
3979290,157.0,46.0,2
3979374,154.94707,46.0,2
3979396,153.6099,46.0,2
3979418,150.46866,46.0,2
3979441,148.91396,46.0,2
3979463,146.14409,46.0,2
3979485,142.65343,46.0,2
3979507,139.76068,46.0,2
3979530,135.5883,46.0,2
3979552,129.6603,46.0,2
3979574,126.403854,44.701927,2
3979596,118.36539,42.121796,2
3979618,113.40706,43.0,2
3979641,108.15935,43.0,2
3979662,103.06178,43.0,2
3979685,99.38287,43.0,2
3979707,96.480576,43.0,2
3979730,92.36304,43.0,2
3979752,89.11308,43.0,2
3979774,85.13051,43.0,2
3979794,83.034515,43.0,2
3979819,78.03676,43.0,2
3979841,74.02067,43.0,2
3979863,72.32389,43.0,2
3979885,69.956314,43.0,2
3979907,68.5,52.0,2
3979930,67.28617,49.0,2
3979952,65.945694,50.054306,2
3979974,64.59027,51.40973,2
3979997,62.24063,51.75937,2
3980019,60.898018,52.0,2
3980041,59.53968,52.0,2
3980063,59.123764,53.876236,2
3980086,55.60824,55.130585,2
3980108,56.0,56.481506,2
3980152,55.0,57.184814,2
3980174,52.034454,57.0,2
3980190,51.50818,57.0,2
3980215,52.0,58.0,2
3980286,51.0,59.27932,2
3981092,51.0,48.0,2
3981174,62.0,48.0,2
3981221,63.0,48.0,2
3981287,64.87688,48.0,2
3981309,68.66789,48.0,2
3981354,72.75291,48.0,2
3981376,78.040115,48.0,2
3981394,83.0,48.0,2
3981420,84.94849,48.0,2
3981443,91.47827,48.0,2
3981465,97.586426,48.0,2
3981487,103.943115,48.0,2
3981509,109.35329,48.0,2
3981532,115.81958,50.065536,2
3981554,123.8546,52.17092,2
3981576,128.3318,52.0,2
3981598,133.17026,52.0,2
3981621,138.29114,52.0,2
3981643,140.8664,52.0,2
3981665,145.07217,52.0,2
3981687,147.11073,52.0,2
3981710,148.46104,52.0,2
3981732,152.64406,52.0,2
3981754,154.16655,52.0,2
3981798,156.8443,52.0,2
3981821,158.19136,52.0,2
3981865,160.77792,52.0,2
3981875,161.96027,52.0,2
3981900,161.0,53.0,2
3981925,162.48909,53.0,2
3981950,164.0,53.0,2
3982047,165.0,53.0,2
3982165,166.0,53.0,2
3982247,167.0,53.0,2
3982431,168.0,53.0,2
3982688,169.6644,53.0,2
3982700,170.5,53.0,2
3983122,170.0,54.0,2
3983145,170.0,54.0,1
3991623,160.0,44.0,0
3996032,144.0,44.0,2
3996057,141.06572,44.0,2
3996080,139.07735,44.0,2
3996102,137.737,44.0,2
3996122,135.03088,44.0,2
3996146,132.0409,44.0,2
3996155,131.51544,44.0,2
3996191,128.02364,44.0,2
3996213,123.99652,37.993042,2
3996235,122.50818,38.0,2
3996258,120.60651,38.0,2
3996271,119.02182,38.0,2
3996296,119.0,38.0,2
3996324,114.532166,38.0,2
3996347,112.928085,38.0,2
3996369,111.57248,38.0,2
3996391,109.26904,38.0,2
3996413,105.66901,38.0,2
3996436,104.53903,38.0,2
3996458,101.3734,38.0,2
3996480,97.5253,38.0,2
3996502,93.548965,38.0,2
3996525,88.425385,37.1418,2
3996547,86.78252,37.0,2
3996566,82.5,37.0,2
3996591,79.20041,37.0,2
3996613,77.758545,35.758553,2
3996634,75.01816,36.0,2
3996658,72.1053,36.0,2
3996680,68.17016,36.0,2
3996702,65.7274,36.0,2
3996725,61.665047,36.0,2
3996747,60.6978,36.0,2
3996769,57.651047,36.0,2
3996791,57.0,42.104164,2
3996814,55.635193,42.0,2
3996836,54.284683,43.0,2
3996858,51.880974,43.0,2
3996903,50.21971,43.78029,2
3996915,49.55342,44.44658,2
3996940,48.0,45.0,2
3996964,46.50911,45.0,2
3997089,47.0,46.0,2
3999201,58.0,46.0,2
4000114,60.0,46.0,2
4000144,60.0,47.0,2
4000195,63.427567,48.213783,2
4000217,64.380775,49.380775,2
4000444,64.0,38.0,2
4000474,64.0,37.0,2
4000499,64.0,35.530212,2
4000607,64.0,35.0,2
4000954,65.0,35.0,2
4000986,69.0,35.0,2
4001018,76.1185,35.0,2
4001040,80.99022,35.0,2
4001060,84.45366,35.0,2
4001085,93.79266,35.0,2
4001107,103.155685,38.923866,2
4001129,110.96187,38.0,2
4001151,118.00101,34.999397,2
4001174,126.10054,35.0,2
4001196,132.91345,38.456726,2
4001218,138.18416,39.0,2
4001240,144.96652,40.393303,2
4001263,148.22636,41.0,2
4001285,152.2951,41.0,2
4001307,157.71481,41.0,2
4001329,160.37476,41.0,2
4001352,162.25276,41.0,2
4001374,164.86328,42.43164,2
4001396,167.6454,42.0,2
4001418,169.16623,42.0,2
4001440,171.96912,42.0,2
4001463,172.86252,42.0,2
4001485,174.21536,42.0,2
4001507,174.60898,43.0,2
4001521,175.5,43.0,2
4001564,176.0,43.0,2
4001647,177.0,43.0,2
4001696,178.0,43.0,2
4001746,178.0,44.0,2
4002009,178.0,45.0,2
4002234,178.0,45.0,1
4016826,32.0,52.0,0
4017883,49.0,52.0,2
4017968,51.469917,52.0,2
4017988,52.44506,52.0,2
4018029,53.0,52.0,2
